Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/4/2016 16:00:00,26.34,1/4/2016 16:00:00,54.8,1/4/2016 16:00:00,636.99,1/4/2016 16:00:00,102.22,1/4/2016 16:00:00,44.68,1/4/2016 16:00:00,759.44,1/4/2016 16:00:00,741.84,1/4/2016 15:00:00,2259.9,1/4/2016 16:00:00,100.48,1/4/2016 16:00:00,63.62
1/5/2016 16:00:00,25.68,1/5/2016 16:00:00,55.05,1/5/2016 16:00:00,633.79,1/5/2016 16:00:00,102.73,1/5/2016 16:00:00,44.69,1/5/2016 16:00:00,761.53,1/5/2016 16:00:00,742.58,1/5/2016 15:00:00,2265.23,1/5/2016 16:00:00,100.9,1/5/2016 16:00:00,63.73
1/6/2016 16:00:00,25.18,1/6/2016 16:00:00,54.05,1/6/2016 16:00:00,632.65,1/6/2016 16:00:00,102.97,1/6/2016 16:00:00,43.81,1/6/2016 16:00:00,759.33,1/6/2016 16:00:00,743.62,1/6/2016 15:00:00,2280,1/6/2016 16:00:00,100.39,1/6/2016 16:00:00,62.81
1/7/2016 16:00:00,24.11,1/7/2016 16:00:00,52.17,1/7/2016 16:00:00,607.94,1/7/2016 16:00:00,97.92,1/7/2016 16:00:00,43.13,1/7/2016 16:00:00,741,1/7/2016 16:00:00,726.39,1/7/2016 15:00:00,2315,1/7/2016 16:00:00,99.22,1/7/2016 16:00:00,60.27
1/8/2016 16:00:00,24.24,1/8/2016 16:00:00,52.33,1/8/2016 16:00:00,607.05,1/8/2016 16:00:00,97.33,1/8/2016 16:00:00,42.2,1/8/2016 16:00:00,730.91,1/8/2016 16:00:00,714.47,1/8/2016 15:00:00,2350,1/8/2016 16:00:00,98.16,1/8/2016 16:00:00,58.92
1/11/2016 16:00:00,24.63,1/11/2016 16:00:00,52.3,1/11/2016 16:00:00,617.74,1/11/2016 16:00:00,97.51,1/11/2016 16:00:00,41.57,1/11/2016 16:00:00,733.07,1/11/2016 16:00:00,716.03,1/11/2016 15:00:00,2288.82,1/11/2016 16:00:00,97.57,1/11/2016 16:00:00,58.83
1/12/2016 16:00:00,24.99,1/12/2016 16:00:00,52.78,1/12/2016 16:00:00,617.89,1/12/2016 16:00:00,99.37,1/12/2016 16:00:00,41.99,1/12/2016 16:00:00,745.34,1/12/2016 16:00:00,726.07,1/12/2016 15:00:00,2295,1/12/2016 16:00:00,98.24,1/12/2016 16:00:00,58.96
1/13/2016 16:00:00,24.35,1/13/2016 16:00:00,51.64,1/13/2016 16:00:00,581.81,1/13/2016 16:00:00,95.44,1/13/2016 16:00:00,40.06,1/13/2016 16:00:00,719.57,1/13/2016 16:00:00,700.56,1/13/2016 15:00:00,2290.82,1/13/2016 16:00:00,97.02,1/13/2016 16:00:00,57.34
1/14/2016 16:00:00,24.88,1/14/2016 16:00:00,53.11,1/14/2016 16:00:00,593,1/14/2016 16:00:00,98.37,1/14/2016 16:00:00,41.24,1/14/2016 16:00:00,731.39,1/14/2016 16:00:00,714.72,1/19/2016 15:00:00,2331.95,1/14/2016 16:00:00,98.89,1/14/2016 16:00:00,58.2
1/15/2016 16:00:00,24.28,1/15/2016 16:00:00,50.99,1/15/2016 16:00:00,570.18,1/15/2016 16:00:00,94.97,1/15/2016 16:00:00,41,1/15/2016 16:00:00,710.49,1/15/2016 16:00:00,694.45,1/20/2016 15:00:00,2320,1/15/2016 16:00:00,97,1/15/2016 16:00:00,57.04
1/19/2016 16:00:00,24.17,1/19/2016 16:00:00,50.56,1/19/2016 16:00:00,574.48,1/19/2016 16:00:00,95.26,1/19/2016 16:00:00,40.94,1/19/2016 16:00:00,719.08,1/19/2016 16:00:00,701.79,1/21/2016 15:00:00,2319,1/19/2016 16:00:00,97.5,1/19/2016 16:00:00,57.01
1/20/2016 16:00:00,24.2,1/20/2016 16:00:00,50.79,1/20/2016 16:00:00,571.77,1/20/2016 16:00:00,94.35,1/20/2016 16:00:00,39.74,1/20/2016 16:00:00,718.56,1/20/2016 16:00:00,698.45,1/22/2016 15:00:00,2341,1/20/2016 16:00:00,95.75,1/20/2016 16:00:00,55.51
1/21/2016 16:00:00,24.08,1/21/2016 16:00:00,50.48,1/21/2016 16:00:00,575.02,1/21/2016 16:00:00,94.16,1/21/2016 16:00:00,39.99,1/21/2016 16:00:00,726.67,1/21/2016 16:00:00,706.59,1/25/2016 15:00:00,2314,1/21/2016 16:00:00,95.94,1/21/2016 16:00:00,55.25
1/22/2016 16:00:00,25.36,1/22/2016 16:00:00,52.29,1/22/2016 16:00:00,596.38,1/22/2016 16:00:00,97.94,1/22/2016 16:00:00,40.51,1/22/2016 16:00:00,745.46,1/22/2016 16:00:00,725.25,1/26/2016 15:00:00,2308,1/22/2016 16:00:00,96.75,1/22/2016 16:00:00,56.95
